timestamp,open,high,low,close,volume
2023-12-13T00:00:00+00:00,41492.38,41506.0,41476.17,41476.18,23.92517
2023-12-13T00:01:00+00:00,41476.18,41479.51,41435.13,41441.32,42.52961
2023-12-13T00:02:00+00:00,41441.32,41441.33,41394.27,41394.28,78.02927
2023-12-13T00:03:00+00:00,41394.27,41421.26,41394.27,41421.26,23.38614
2023-12-13T00:04:00+00:00,41421.26,41430.44,41416.59,41424.95,14.50482
2023-12-13T00:05:00+00:00,41424.94,41424.95,41393.16,41400.91,20.37696
2023-12-13T00:06:00+00:00,41400.91,41430.47,41400.9,41430.47,28.12136
2023-12-13T00:07:00+00:00,41430.46,41438.0,41406.57,41420.27,17.60608
2023-12-13T00:08:00+00:00,41420.27,41420.27,41354.36,41361.36,31.99802
2023-12-13T00:09:00+00:00,41361.36,41391.09,41361.36,41389.36,24.66322
2023-12-13T00:10:00+00:00,41389.37,41405.48,41371.39,41405.46,36.42547
2023-12-13T00:11:00+00:00,41405.46,41405.47,41374.82,41378.02,29.68169
2023-12-13T00:12:00+00:00,41378.03,41382.95,41368.0,41371.11,12.02613
2023-12-13T00:13:00+00:00,41371.1,41401.0,41371.1,41399.42,19.34438
2023-12-13T00:14:00+00:00,41399.41,41405.0,41391.1,41405.0,9.47541
2023-12-13T00:15:00+00:00,41404.99,41414.0,41394.64,41397.79,53.39161
2023-12-13T00:16:00+00:00,41397.79,41397.8,41365.16,41365.16,9.59763
2023-12-13T00:17:00+00:00,41365.16,41369.58,41349.03,41369.57,23.9023
2023-12-13T00:18:00+00:00,41369.58,41396.87,41369.57,41387.0,15.18278
2023-12-13T00:19:00+00:00,41387.01,41387.01,41361.1,41361.11,8.50383
2023-12-13T00:20:00+00:00,41361.1,41378.4,41351.89,41351.89,13.86055
2023-12-13T00:21:00+00:00,41351.9,41367.8,41328.03,41338.01,41.0501
2023-12-13T00:22:00+00:00,41338.01,41345.99,41300.0,41318.25,83.91943
2023-12-13T00:23:00+00:00,41318.25,41319.4,41300.0,41307.04,24.86796
2023-12-13T00:24:00+00:00,41307.03,41313.38,41300.48,41300.81,30.19329
2023-12-13T00:25:00+00:00,41300.82,41313.36,41300.81,41313.35,18.69623
2023-12-13T00:26:00+00:00,41313.35,41344.0,41313.35,41336.0,23.38928
2023-12-13T00:27:00+00:00,41336.0,41356.45,41325.73,41351.06,10.52954
2023-12-13T00:28:00+00:00,41351.06,41354.0,41343.5,41350.0,7.66014
2023-12-13T00:29:00+00:00,41350.0,41358.0,41347.04,41358.0,8.89751
2023-12-13T00:30:00+00:00,41357.99,41358.0,41337.58,41337.58,9.9586
2023-12-13T00:31:00+00:00,41337.58,41366.45,41321.1,41343.83,18.8211
2023-12-13T00:32:00+00:00,41343.84,41366.0,41335.63,41361.98,9.76139
2023-12-13T00:33:00+00:00,41361.99,41368.0,41344.35,41367.98,13.61397
2023-12-13T00:34:00+00:00,41367.98,41381.1,41360.85,41370.7,41.27664
2023-12-13T00:35:00+00:00,41370.69,41372.0,41356.13,41359.97,15.82079
2023-12-13T00:36:00+00:00,41359.97,41367.94,41341.1,41367.94,10.89534
2023-12-13T00:37:00+00:00,41367.94,41377.11,41367.93,41377.1,4.3051
2023-12-13T00:38:00+00:00,41377.1,41377.11,41367.89,41371.99,9.2254
2023-12-13T00:39:00+00:00,41371.98,41384.0,41371.98,41384.0,5.77047
2023-12-13T00:40:00+00:00,41384.0,41405.45,41383.99,41405.45,10.22134
2023-12-13T00:41:00+00:00,41405.44,41414.88,41397.12,41414.88,9.36396
2023-12-13T00:42:00+00:00,41414.87,41441.07,41414.87,41438.99,24.61941
2023-12-13T00:43:00+00:00,41438.99,41445.7,41422.01,41445.7,10.59953
2023-12-13T00:44:00+00:00,41445.69,41477.84,41440.15,41476.08,28.61613
2023-12-13T00:45:00+00:00,41476.08,41497.41,41475.41,41486.12,27.21119
2023-12-13T00:46:00+00:00,41486.12,41502.99,41471.46,41488.26,17.42283
2023-12-13T00:47:00+00:00,41488.26,41491.55,41465.41,41467.65,9.24938
2023-12-13T00:48:00+00:00,41467.65,41467.66,41446.34,41446.35,9.97211
2023-12-13T00:49:00+00:00,41446.36,41446.36,41424.01,41424.01,5.81393
2023-12-13T00:50:00+00:00,41424.02,41424.02,41418.0,41418.01,4.6072
2023-12-13T00:51:00+00:00,41418.0,41462.33,41418.0,41457.71,23.904
2023-12-13T00:52:00+00:00,41457.71,41457.75,41436.39,41457.75,10.86583
2023-12-13T00:53:00+00:00,41457.75,41457.75,41441.1,41451.1,7.48375
2023-12-13T00:54:00+00:00,41451.1,41457.75,41449.01,41449.01,2.04699
2023-12-13T00:55:00+00:00,41449.02,41467.66,41449.01,41460.7,29.78915
2023-12-13T00:56:00+00:00,41460.69,41460.7,41411.1,41411.11,34.60359
2023-12-13T00:57:00+00:00,41411.1,41429.99,41408.57,41419.75,19.12047
2023-12-13T00:58:00+00:00,41419.76,41420.79,41408.83,41408.83,11.66471
2023-12-13T00:59:00+00:00,41408.83,41416.11,41408.06,41411.4,6.67999
2023-12-13T01:00:00+00:00,41411.41,41420.82,41406.92,41417.98,11.8588
2023-12-13T01:01:00+00:00,41417.99,41420.82,41402.13,41402.14,8.91816
2023-12-13T01:02:00+00:00,41402.14,41436.0,41402.13,41430.9,22.62008
2023-12-13T01:03:00+00:00,41430.89,41430.9,41417.13,41417.13,2.65725
2023-12-13T01:04:00+00:00,41417.13,41417.14,41411.1,41411.11,6.77113
2023-12-13T01:05:00+00:00,41411.11,41411.11,41403.96,41403.96,2.78994
2023-12-13T01:06:00+00:00,41403.97,41403.97,41367.04,41377.99,13.04056
2023-12-13T01:07:00+00:00,41377.99,41395.65,41377.98,41395.64,6.26371
2023-12-13T01:08:00+00:00,41395.65,41396.02,41370.77,41370.96,6.39978
2023-12-13T01:09:00+00:00,41370.95,41370.96,41354.0,41357.99,8.566
2023-12-13T01:10:00+00:00,41357.99,41364.0,41345.41,41353.91,12.01222
2023-12-13T01:11:00+00:00,41353.92,41364.0,41353.91,41355.76,5.42881
2023-12-13T01:12:00+00:00,41355.75,41361.94,41348.14,41348.15,9.5083
2023-12-13T01:13:00+00:00,41348.14,41355.52,41348.14,41353.93,3.92415
2023-12-13T01:14:00+00:00,41353.93,41353.94,41343.13,41344.61,11.35183
2023-12-13T01:15:00+00:00,41344.61,41344.62,41319.65,41319.66,12.10857
2023-12-13T01:16:00+00:00,41319.65,41339.15,41291.16,41307.11,44.44518
2023-12-13T01:17:00+00:00,41307.1,41308.21,41220.0,41265.93,105.44908
2023-12-13T01:18:00+00:00,41265.93,41268.0,41242.01,41265.94,42.15799
2023-12-13T01:19:00+00:00,41265.94,41268.02,41261.49,41268.02,32.53011
2023-12-13T01:20:00+00:00,41268.02,41268.02,41166.58,41185.08,142.88298
2023-12-13T01:21:00+00:00,41185.07,41200.0,41145.32,41184.0,108.94117
2023-12-13T01:22:00+00:00,41184.0,41204.0,41183.99,41196.9,21.74847
2023-12-13T01:23:00+00:00,41196.9,41201.77,41159.96,41181.08,70.86799
2023-12-13T01:24:00+00:00,41181.09,41209.44,41174.45,41177.94,32.27212
2023-12-13T01:25:00+00:00,41177.93,41185.08,41145.53,41154.76,34.14796
2023-12-13T01:26:00+00:00,41154.76,41161.97,41045.45,41059.57,83.3954
2023-12-13T01:27:00+00:00,41059.57,41110.0,41025.51,41087.68,79.16107
2023-12-13T01:28:00+00:00,41087.68,41092.0,41041.13,41049.89,64.245
2023-12-13T01:29:00+00:00,41049.88,41070.71,40880.81,41004.81,127.88021
2023-12-13T01:30:00+00:00,41004.8,41044.33,40976.05,41031.53,89.58062
2023-12-13T01:31:00+00:00,41031.54,41088.0,41031.53,41088.0,39.14018
2023-12-13T01:32:00+00:00,41088.0,41123.99,41078.0,41110.0,51.04983
2023-12-13T01:33:00+00:00,41109.99,41166.66,41109.99,41162.51,37.26344
2023-12-13T01:34:00+00:00,41162.5,41190.0,41162.32,41170.52,21.14307
2023-12-13T01:35:00+00:00,41170.51,41184.0,41112.0,41114.16,37.86624
2023-12-13T01:36:00+00:00,41114.15,41126.0,41050.85,41055.63,158.4649
2023-12-13T01:37:00+00:00,41055.63,41119.16,41052.46,41119.15,139.95709
2023-12-13T01:38:00+00:00,41119.15,41119.16,41098.0,41099.07,32.70145
2023-12-13T01:39:00+00:00,41099.06,41103.55,41099.06,41103.55,7.07806
2023-12-13T01:40:00+00:00,41103.55,41140.13,41072.53,41136.33,46.19882
2023-12-13T01:41:00+00:00,41136.32,41144.38,41121.3,41123.16,28.47921
2023-12-13T01:42:00+00:00,41123.17,41157.27,41123.16,41143.2,17.22536
2023-12-13T01:43:00+00:00,41143.2,41143.2,41109.49,41120.44,20.20867
2023-12-13T01:44:00+00:00,41120.44,41151.1,41111.86,41151.09,24.1684
2023-12-13T01:45:00+00:00,41151.09,41157.27,41104.0,41114.59,18.49848
2023-12-13T01:46:00+00:00,41114.6,41143.58,41113.32,41113.32,17.38096
2023-12-13T01:47:00+00:00,41113.33,41129.44,41055.81,41056.0,37.54797
2023-12-13T01:48:00+00:00,41056.01,41069.43,41027.77,41037.99,39.85229
2023-12-13T01:49:00+00:00,41038.0,41048.0,41011.1,41042.0,25.26437
2023-12-13T01:50:00+00:00,41041.99,41081.1,41016.01,41081.09,29.31884
2023-12-13T01:51:00+00:00,41081.1,41099.59,41046.62,41061.1,29.15181
2023-12-13T01:52:00+00:00,41061.1,41083.99,41061.05,41064.67,23.80436
2023-12-13T01:53:00+00:00,41064.68,41100.0,41064.67,41094.65,20.31007
2023-12-13T01:54:00+00:00,41094.66,41127.62,41076.85,41127.61,27.24419
2023-12-13T01:55:00+00:00,41127.61,41151.36,41116.03,41138.52,31.02816
2023-12-13T01:56:00+00:00,41138.53,41159.91,41131.1,41137.98,21.47628
2023-12-13T01:57:00+00:00,41137.98,41137.99,41084.45,41084.45,25.61621
2023-12-13T01:58:00+00:00,41084.46,41095.99,41082.0,41084.5,17.06386
2023-12-13T01:59:00+00:00,41084.5,41084.51,41022.0,41022.0,17.91473
2023-12-13T02:00:00+00:00,41022.01,41066.65,41020.0,41052.01,34.06068
2023-12-13T02:01:00+00:00,41052.01,41110.0,41052.01,41109.99,22.89536
2023-12-13T02:02:00+00:00,41109.99,41124.91,41109.99,41122.0,21.19734
2023-12-13T02:03:00+00:00,41122.01,41122.01,41071.1,41072.82,22.05906
2023-12-13T02:04:00+00:00,41072.82,41140.0,41072.82,41139.99,45.07961
2023-12-13T02:05:00+00:00,41139.99,41145.45,41122.0,41128.02,33.73719
2023-12-13T02:06:00+00:00,41128.02,41128.02,41092.83,41104.47,17.45518
2023-12-13T02:07:00+00:00,41104.47,41111.1,41072.78,41077.69,15.06124
2023-12-13T02:08:00+00:00,41077.69,41089.78,41051.1,41051.11,20.90888
2023-12-13T02:09:00+00:00,41051.1,41052.68,41030.0,41030.0,15.60457
2023-12-13T02:10:00+00:00,41030.0,41038.47,40974.99,40995.54,56.56473
2023-12-13T02:11:00+00:00,40995.54,40999.99,40885.17,40898.0,69.57593
2023-12-13T02:12:00+00:00,40898.01,40947.28,40855.0,40932.36,72.27257
2023-12-13T02:13:00+00:00,40932.36,40945.8,40902.0,40908.69,24.33206
2023-12-13T02:14:00+00:00,40908.69,40959.7,40908.68,40956.19,20.36962
2023-12-13T02:15:00+00:00,40956.2,40976.0,40932.83,40975.99,27.63127
2023-12-13T02:16:00+00:00,40976.0,41011.1,40932.83,40938.01,41.43288
2023-12-13T02:17:00+00:00,40938.02,40984.08,40938.01,40984.07,17.79778
2023-12-13T02:18:00+00:00,40984.07,41001.1,40968.49,40977.22,41.25204
2023-12-13T02:19:00+00:00,40977.21,40986.93,40964.64,40964.65,19.98432
2023-12-13T02:20:00+00:00,40964.64,40964.65,40825.9,40882.0,91.9853
2023-12-13T02:21:00+00:00,40882.0,40934.01,40862.16,40871.99,42.68124
2023-12-13T02:22:00+00:00,40871.98,40871.99,40798.46,40846.0,246.9984
2023-12-13T02:23:00+00:00,40846.0,40864.03,40844.0,40863.98,27.70999
2023-12-13T02:24:00+00:00,40863.99,40880.0,40780.34,40798.0,72.22642
2023-12-13T02:25:00+00:00,40797.99,40862.4,40790.47,40844.01,80.40939
2023-12-13T02:26:00+00:00,40844.01,40865.42,40781.11,40806.28,80.32639
2023-12-13T02:27:00+00:00,40806.28,40806.29,40717.65,40744.02,127.22968
2023-12-13T02:28:00+00:00,40745.0,40826.09,40555.0,40822.83,288.84674
2023-12-13T02:29:00+00:00,40822.83,40881.1,40794.68,40868.05,75.33055
2023-12-13T02:30:00+00:00,40868.05,40886.66,40838.14,40857.76,41.43042
2023-12-13T02:31:00+00:00,40857.77,40879.87,40796.01,40866.27,57.69318
2023-12-13T02:32:00+00:00,40866.27,40916.0,40866.26,40906.4,29.75609
2023-12-13T02:33:00+00:00,40906.39,40931.59,40902.33,40925.22,24.50957
2023-12-13T02:34:00+00:00,40925.22,40945.35,40902.01,40940.2,31.98035
2023-12-13T02:35:00+00:00,40940.2,40942.25,40893.23,40932.0,45.91265
2023-12-13T02:36:00+00:00,40931.99,40939.62,40891.12,40906.37,26.20977
2023-12-13T02:37:00+00:00,40906.38,40940.0,40904.61,40936.69,17.301
2023-12-13T02:38:00+00:00,40936.7,40985.32,40934.24,40982.07,38.91948
2023-12-13T02:39:00+00:00,40982.07,40989.61,40959.07,40959.08,47.24036
2023-12-13T02:40:00+00:00,40959.08,40980.38,40952.0,40956.41,25.272
2023-12-13T02:41:00+00:00,40956.42,40991.1,40952.0,40982.01,28.20135
2023-12-13T02:42:00+00:00,40982.01,41029.01,40972.6,41008.96,35.4715
2023-12-13T02:43:00+00:00,41008.96,41034.0,41006.0,41027.35,22.64543
2023-12-13T02:44:00+00:00,41027.35,41040.06,41022.06,41040.06,16.99242
2023-12-13T02:45:00+00:00,41040.05,41049.3,41012.39,41017.6,21.60168
2023-12-13T02:46:00+00:00,41017.59,41017.6,40988.49,41015.64,20.58649
2023-12-13T02:47:00+00:00,41015.63,41015.64,40975.87,41005.37,40.54007
